dept,endsite,time,m,w,num
5,260,2016-01-01,1,5,427
5,260,2016-01-02,1,6,212
5,260,2016-01-03,1,7,269
5,260,2016-01-04,1,1,165
5,260,2016-01-05,1,2,192
5,260,2016-01-06,1,3,184
5,260,2016-01-07,1,4,157
5,260,2016-01-08,1,5,175
5,260,2016-01-09,1,6,173
5,260,2016-01-10,1,7,184
5,260,2016-01-11,1,1,194
5,260,2016-01-12,1,2,209
5,260,2016-01-13,1,3,196
5,260,2016-01-14,1,4,179
5,260,2016-01-15,1,5,221
5,260,2016-01-16,1,6,223
5,260,2016-01-17,1,7,158
5,260,2016-01-18,1,1,198
5,260,2016-01-19,1,2,226
5,260,2016-01-20,1,3,165
5,260,2016-01-21,1,4,163
5,260,2016-01-22,1,5,181
5,260,2016-01-23,1,6,189
5,260,2016-01-24,1,7,229
5,260,2016-01-25,1,1,221
5,260,2016-01-26,1,2,218
5,260,2016-01-27,1,3,229
5,260,2016-01-28,1,4,267
5,260,2016-01-29,1,5,234
5,260,2016-01-30,1,6,323
5,260,2016-01-31,1,7,178
5,260,2016-02-01,2,1,287
5,260,2016-02-02,2,2,337
5,260,2016-02-03,2,3,321
5,260,2016-02-04,2,4,355
5,260,2016-02-05,2,5,326
5,260,2016-02-06,2,6,373
5,260,2016-02-07,2,7,124
5,260,2016-02-08,2,1,88
5,260,2016-02-09,2,2,230
5,260,2016-02-10,2,3,222
5,260,2016-02-11,2,4,196
5,260,2016-02-12,2,5,305
5,260,2016-02-13,2,6,232
5,260,2016-02-14,2,7,225
5,260,2016-02-15,2,1,236
5,260,2016-02-16,2,2,263
5,260,2016-02-17,2,3,219
5,260,2016-02-18,2,4,222
5,260,2016-02-19,2,5,197
5,260,2016-02-20,2,6,211
5,260,2016-02-21,2,7,212
5,260,2016-02-22,2,1,200
5,260,2016-02-23,2,2,432
5,260,2016-02-24,2,3,370
5,260,2016-02-25,2,4,257
5,260,2016-02-26,2,5,260
5,260,2016-02-27,2,6,223
5,260,2016-02-28,2,7,236
5,260,2016-02-29,2,1,228
5,260,2016-03-01,3,2,184
5,260,2016-03-02,3,3,194
5,260,2016-03-03,3,4,173
5,260,2016-03-04,3,5,230
5,260,2016-03-05,3,6,253
5,260,2016-03-06,3,7,250
5,260,2016-03-07,3,1,227
5,260,2016-03-08,3,2,155
5,260,2016-03-09,3,3,169
5,260,2016-03-10,3,4,184
5,260,2016-03-11,3,5,246
5,260,2016-03-12,3,6,247
5,260,2016-03-13,3,7,206
5,260,2016-03-14,3,1,189
5,260,2016-03-15,3,2,212
5,260,2016-03-16,3,3,205
5,260,2016-03-17,3,4,173
5,260,2016-03-18,3,5,257
5,260,2016-03-19,3,6,200
5,260,2016-03-20,3,7,235
5,260,2016-03-21,3,1,234
5,260,2016-03-22,3,2,173
5,260,2016-03-23,3,3,170
5,260,2016-03-24,3,4,183
5,260,2016-03-25,3,5,242
5,260,2016-03-26,3,6,201
5,260,2016-03-27,3,7,241
5,260,2016-03-28,3,1,181
5,260,2016-03-29,3,2,194
5,260,2016-03-30,3,3,143
5,260,2016-03-31,3,4,242
5,260,2016-04-01,4,5,528
5,260,2016-04-02,4,6,605
5,260,2016-04-03,4,7,324
5,260,2016-04-04,4,1,278
5,260,2016-04-05,4,2,231
5,260,2016-04-06,4,3,156
5,260,2016-04-07,4,4,189
5,260,2016-04-08,4,5,224
5,260,2016-04-09,4,6,174
5,260,2016-04-10,4,7,188
5,260,2016-04-11,4,1,196
5,260,2016-04-12,4,2,171
5,260,2016-04-13,4,3,193
5,260,2016-04-14,4,4,174
5,260,2016-04-15,4,5,211
5,260,2016-04-16,4,6,159
5,260,2016-04-17,4,7,226
5,260,2016-04-18,4,1,210
5,260,2016-04-19,4,2,140
